01,03/01/2021,09/01/2021,2021  
02,10/01/2021,16/01/2021,2021  
03,17/01/2021,23/01/2021,2021
04,24/01/2021,30/01/2021,2021  
05,31/01/2021,06/02/2021,2021  
06,07/02/2021,13/02/2021,2021  
07,14/02/2021,20/02/2021,2021  
08,21/02/2021,27/02/2021,2021  
09,28/02/2021,06/03/2021,2021  
10,07/03/2021,13/03/2021,2021  
11,14/03/2021,20/03/2021,2021  
12,21/03/2021,27/03/2021,2021  
13,28/03/2021,03/04/2021,2021  
14,04/04/2021,10/04/2021,2021  
15,11/04/2021,17/04/2021,2021  
16,18/04/2021,24/04/2021,2021  
17,25/04/2021,01/05/2021,2021  
18,02/05/2021,08/05/2021,2021  
19,09/05/2021,15/05/2021,2021  
20,16/05/2021,22/05/2021,2021  
21,23/05/2021,29/05/2021,2021  
22,30/05/2021,05/06/2021,2021  
23,06/06/2021,12/06/2021,2021  
24,13/06/2021,19/06/2021,2021  
25,20/06/2021,26/06/2021,2021  
26,27/06/2021,03/07/2021,2021  
27,04/07/2021,10/07/2021,2021  
28,11/07/2021,17/07/2021,2021  
29,18/07/2021,24/07/2021,2021  
30,25/07/2021,31/07/2021,2021  
31,01/08/2021,07/08/2021,2021  
32,08/08/2021,14/08/2021,2021  
33,15/08/2021,21/08/2021,2021  
34,22/08/2021,28/08/2021,2021  
35,29/08/2021,04/09/2021,2021  
36,05/09/2021,11/09/2021,2021  
37,12/09/2021,18/09/2021,2021  
38,19/09/2021,25/09/2021,2021  
39,26/09/2021,02/10/2021,2021  
40,03/10/2021,09/10/2021,2021  
41,10/10/2021,16/10/2021,2021  
42,17/10/2021,23/10/2021,2021  
43,24/10/2021,30/10/2021,2021  
44,31/10/2021,06/11/2021,2021  
45,07/11/2021,13/11/2021,2021  
46,14/11/2021,20/11/2021,2021  
47,21/11/2021,27/11/2021,2021  
48,28/11/2021,04/12/2021,2021  
49,05/12/2021,11/12/2021,2021  
50,12/12/2021,18/12/2021,2021 
51,19/12/2021,25/12/2021,2021 
52,26/12/2021,01/01/2022,2021
